candidate_id,event_key,company,label,artist_id,artist,activity_type,event_name,event_start_date,event_end_date,event_dates,date_confidence,date_evidence,date_source,date_conflict,cities,venues,article_title,published_at,score,review_reason,primary_url,naver_url,related_urls,supporting_article_count,clipped_text,first_seen,last_seen,review_status
bfaed1fb4fa62a7b3e6611a3,558b76f92c451bbdc019e01a,SM,3세대 그룹,wayv,WayV,COMEBACK,비전 윙스,2026-08-10,2026-08-10,2026-08-10,HIGH,8월 10일,TITLE,N,뉴욕,,"웨이션브이, 미니앨범 '비전 윙스' 8월 10일 발표…깊고 따뜻한 감성 담...",2026-07-31T09:51:00+09:00,66,MANUAL_APPROVAL_REQUIRED,https://www.spotvnews.co.kr/news/articleView.html?idxno=831829,https://m.entertain.naver.com/article/477/0000621106,,1,"그룹 웨이션브이(WayV)가 여덟 번째 미니앨범 '비전 윙스'(Vision Wings)를 통해 깊고 따뜻한 감성을... 한편, 웨이션브이는 8월 2일(현지시간) 뉴욕 센트럴 파크에서 열리는 대규모 페스티벌 '서머스테이지'에 출연한다....",2026-08-01T08:33:21.050332+09:00,2026-08-01T08:33:21.050332+09:00,PENDING
54336b825b1266f6ae9996af,182328ce116df1cffed85c62,HYBE,HYBE x Geffen,katseye,KATSEYE (캣츠아이),POPUP,와일드,2026-08-14,2026-08-19,2026-08-14|2026-08-15|2026-08-16|2026-08-17|2026-08-18|2026-08-19,MEDIUM,14~19일,BODY,N,도쿄|서울,,"캣츠아이, '와일드' 팝업스토어 개최…서울·도쿄서 팬 소통",2026-08-06T13:42:00+09:00,68,DATE_LOW_CONFIDENCE,https://enter.etoday.co.kr/news/view/300677,https://enter.etoday.co.kr/news/view/300677,,1,걸그룹 캣츠아이(KATSEYE)의 세 번째 미니앨범 'WILD(와일드)' 발매를 기념하는 팝업스토어가 오는 14~19일 서울 용산구 하이브 사옥에서 개최된다. 이번 팝업스토어는 앨범의 주요 색상인 핫핑크를 바탕으로 연출된다....,2026-08-07T10:37:20.511258+09:00,2026-08-07T10:37:20.511258+09:00,PENDING
77694e4fb5bdae5b13a99d30,3d237f0cfa9a9ad044491f83,JYP,Studio J,day6,DAY6,TOUR_ANNOUNCEMENT,"영케이, 정규 2집 활동 성료→ 솔로 투어",2026-08-14,2026-08-16,2026-08-14|2026-08-15|2026-08-16,HIGH,8월 14일~16일,TITLE,N,,,"데이식스 영케이, 정규 2집 활동 성료→8월 14일~16일 솔로 투어 개최",2026-08-02T14:12:00+09:00,72,MANUAL_APPROVAL_REQUIRED,https://www.heraldmuse.com/article/10828163?ref=naver,https://m.entertain.naver.com/article/112/0003803253,,1,DAY6(데이식스) Young K(영케이)가 다채로운 활약을 이어간다. Young K는 7월 27일 정규 2집 ‘YOUNGEST’(영기스트)와 타이틀곡 ‘Shut The Door’(셧 더 도어)를 발매했다. 지난 30일 Mnet ‘엠카운트다운’을 시작으로...,2026-08-03T08:31:05.894929+09:00,2026-08-03T08:31:05.894929+09:00,PENDING
b4fb3f7d7def3333390ed7cc,87b318260b0c2b18a1fdc549,YG,그룹/멤버 분리,bigbang,BIGBANG (빅뱅),TOUR_ANNOUNCEMENT,"YG플러스, 월드투어 팝업",2026-08-14,2026-08-27,2026-08-14|2026-08-15|2026-08-16|2026-08-17|2026-08-18|2026-08-19|2026-08-20|2026-08-21|2026-08-22|2026-08-23|2026-08-24|2026-08-25|2026-08-26|2026-08-27,MEDIUM,14~27일,BODY,N,,,"YG플러스, 빅뱅 월드투어 팝업 오픈…20주년 응원봉 공개",2026-08-07T15:32:00+09:00,72,DATE_LOW_CONFIDENCE,https://enter.etoday.co.kr/news/view/300729,https://enter.etoday.co.kr/news/view/300729,,1,빅뱅 데뷔 20주년을 기념하는 공식 투어 MD가 출시된다. YG플러스는 오는 14~27일 무신사 메가스토어 성수와 무신사 스탠다드 명동점에서 'BIGBANG 2026–2027 WORLD TOUR < XX : COSMOS >(빅뱅 2026-2027 월드 투어...,2026-08-08T08:08:07.079154+09:00,2026-08-08T08:08:07.079154+09:00,PENDING
6303740dec65519a7b7a21c7,3e28eaaa365ffdcaea8db8fb,YG,그룹/멤버 분리,bigbang,BIGBANG (빅뱅),TOUR_ANNOUNCEMENT,데뷔 20주년 맞아 월드투어 공식 MD 팝업 연다,2026-08-14,2026-08-14,2026-08-14,MEDIUM,8월 14일,ENRICHED_BODY,N,,,"빅뱅, 데뷔 20주년 맞아 월드투어 공식 MD 팝업 연다",2026-08-07T09:20:00+09:00,72,DATE_ENRICHED_REVIEW,https://www.topstarnews.net/news/articleView.html?idxno=16157238,https://www.topstarnews.net/news/articleView.html?idxno=16157238,,2,"빅뱅이 데뷔 20주년을 맞아 월드투어와 연계한 공식 MD 컬렉션을 내놓는다. YG플러스는 'BIGBANG 2026–2027 WORLD TOUR < XX : COSMOS >'를 기념하는 MD를 준비하고, 이를 선보이는 오프라인 팝업을 진행한다고 밝혔다. 이번...",2026-08-07T10:37:20.511258+09:00,2026-08-08T08:08:07.079154+09:00,PENDING
2cb3a5386bcfab974ead4468,44032315c23e90a8032cde44,JYP,JYP Japan,nexz,NEXZ (넥스지),COMEBACK,"'JYP 신인' , 가요계",2026-08-24,2026-08-24,2026-08-24,MEDIUM,24일,TITLE,N,,,"'JYP 신인' 넥스지, 24일 가요계 컴백…'SAUCIN'' 발표(공식)",2026-08-04T08:08:00+09:00,66,DATE_LOW_CONFIDENCE,http://www.joynews24.com/view/1991547,http://www.joynews24.com/view/1991547,,1,JYP엔터테인먼트 보이그룹 NEXZ(넥스지)가 8월 24일 새 앨범 'SAUCIN''으로 컴백한다. NEXZ는 3일 오후 공식... 넥스지 신보 트레일러 섬네일 [사진=JYP엔터테인먼트] NEXZ의 컴백은 지난 4월 두 번째 싱글 'Mmchk' 이후...,2026-08-04T08:39:48.560746+09:00,2026-08-04T08:39:48.560746+09:00,PENDING
33c09357d98358d319087244,739a956354f87fbdfc1bf131,JYP,JYP Japan,nexz,NEXZ (넥스지),COMEBACK,SAUCIN,2026-08-24,2026-08-24,2026-08-24,MEDIUM,8월 24일,BODY,N,,,NEXZ(넥스지) 신보 ‘SAUCIN’(쏘씬) 트레일러 추가 오픈! 8월 컴백 물 올...,2026-08-05T22:33:00+09:00,66,DATE_LOW_CONFIDENCE,https://sports.khan.co.kr/article/202608052232003?pt=nv,https://m.entertain.naver.com/article/144/0001130161,,1,"펼쳐지는 신규 페스티벌 ’STRAYCITY‘(스트레이시티) 무대에 올라 태양보다 뜨거운 열정 에너지를 뿜어낸다. 넥스지스럽게 맛깔난, ‘넥깔난’ 앨범 ‘SAUCIN’‘이 8월 24일 오후 6시 음악 미식가들을 찾아간다.",2026-08-05T08:35:00.642823+09:00,2026-08-06T08:31:12.665511+09:00,PENDING
ad2b068fe47ea1c688acf416,d4d2553dcb6d60b2740ce95d,JYP,JYP Japan,nexz,NEXZ (넥스지),COMEBACK,소신,2026-08-24,2026-08-24,2026-08-24,MEDIUM,24일,TITLE,N,,,"넥스지, 새 앨범 '소신' 24일 발표…""톡 쏘는 맛으로 무더위 날릴 음악""",2026-08-04T18:28:00+09:00,66,DATE_LOW_CONFIDENCE,https://www.spotvnews.co.kr/news/articleView.html?idxno=832821,https://m.entertain.naver.com/article/477/0000621925,https://swtvnews.com/news/newsview.php?ncode=1065568242026810,2,보이그룹 넥스지가 오는 24일 새 앨범 '소신'(SAUCIN')을 발표한다. 넥스지는 3일 SNS 채널에 새 앨범 '소신' 트레일러 영상을 공개하고 컴백을 예고했다. 영상은 농부로 변신한 일곱 멤버의 평온한 순간과 함께 시작된다....,2026-08-05T08:35:00.642823+09:00,2026-08-05T08:35:00.642823+09:00,PENDING
66436f497c3295c3c833741a,06140d445e4aac70a82b98ee,JYP,JYP Japan,nexz,NEXZ (넥스지),COMEBACK,쏘씬,2026-08-24,2026-08-24,2026-08-24,MEDIUM,24일,TITLE,N,,,넥스지 표 감칠맛 어떨까⋯24일 새 앨범 '쏘씬' 발매,2026-08-04T08:48:00+09:00,66,DATE_LOW_CONFIDENCE,https://www.etoday.co.kr/news/view/2610645,https://www.etoday.co.kr/news/view/2610645,,1,이투데이=장유진 기자 | 그룹 넥스지(NEXZ)가 24일 새 앨범 '쏘씬(SAUCIN')'으로 컴백한다. 넥스지는 3일 오후 공식 SNS 채널에 새 앨범 '쏘씬' 첫 트레일러 영상을 공개했다. 공개된 영상은 농부로 변신한 일곱 멤버의...,2026-08-04T08:39:48.560746+09:00,2026-08-05T08:35:00.642823+09:00,PENDING
27113595f483adaef074227e,c2cd0a9b61eaf127b16de756,HYBE,KOZ,boynextdoor,BOYNEXTDOOR (보이넥스트도어),COMEBACK,BOYNEXTDOOR (보이넥스트도어) 컴백,2026-09-28,2026-09-28,2026-09-28,HIGH,9월 28일,TITLE,N,부산,사직실내체육관,"보이넥스트도어, 9월 28일 국내 컴백…일본 싱글도 발매",2026-08-03T10:54:00+09:00,66,MANUAL_APPROVAL_REQUIRED,https://sports.donga.com/ent/article/all/20260803/134411283/1,https://m.entertain.naver.com/article/382/0001286282,,1,"그룹 보이넥스트도어(BOYNEXTDOOR)가 일본 신곡 발매와 국내 컴백을 예고했다. 보이넥스트도어(성호, 리우, 명재현, 태산, 이한, 운학)는 지난 2일 부산 사직실내체육관에서 열린 첫 월드 투어 ‘BOYNEXTDOOR TOUR...",2026-08-04T08:39:48.560746+09:00,2026-08-04T08:39:48.560746+09:00,PENDING
